"Hole_Id","Project_Id","Easting","Northing","Elevation","Td","CAMPANA","Drill_Type","Start_Date","End_Date","HL_MOD2025","Collar_Type","Start_Year"
"AD24-0082","QE",327190.36000000,8109107.03800000,3690.65400000,60.00000000,"AD2024","RC",8/2/2024 00:00:00,8/2/2024 00:00:00,1,"DDH",2024
"AD24-0085","QE",327204.74400000,8109102.18300000,3690.74500000,60.00000000,"AD2024","RC",7/2/2024 00:00:00,7/2/2024 00:00:00,1,"DDH",2024
"AD24-0086","QE",327298.37200000,8107859.39400000,3646.74200000,90.00000000,"AD2024","RC",25/6/2024 00:00:00,26/6/2024 00:00:00,1,"DDH",2024
"AD24-0087","QE",327300.12900000,8107839.17800000,3647.19500000,75.00000000,"AD2024","RC",30/6/2024 00:00:00,1/7/2024 00:00:00,1,"DDH",2024
"AD24-0088","QE",327300.36400000,8107823.83400000,3646.62200000,90.00000000,"AD2024","RC",29/6/2024 00:00:00,30/6/2024 00:00:00,1,"DDH",2024
"AD24-0091","QE",327225.89200000,8109097.33600000,3690.64200000,60.00000000,"AD2024","RC",6/2/2024 00:00:00,6/2/2024 00:00:00,1,"DDH",2024
"AD24-0092","QE",327240.33100000,8109091.74500000,3690.70100000,60.00000000,"AD2024","RC",6/2/2024 00:00:00,6/2/2024 00:00:00,1,"DDH",2024
"AD24-0101","QE",327260.78900000,8109087.67100000,3690.63000000,60.00000000,"AD2024","RC",6/2/2024 00:00:00,6/2/2024 00:00:00,1,"DDH",2024
"AD24-0102","QE",327280.48400000,8109080.34100000,3691.20600000,60.00000000,"AD2024","RC",6/2/2024 00:00:00,6/2/2024 00:00:00,1,"DDH",2024
"AD24-0116","QE",327140.16300000,8109059.96300000,3660.24500000,90.00000000,"AD2024","RC",9/5/2024 00:00:00,9/5/2024 00:00:00,1,"DDH",2024
"AD24-0119","QE",327164.39500000,8109080.58700000,3690.88200000,75.00000000,"AD2024","RC",11/2/2024 00:00:00,12/2/2024 00:00:00,1,"DDH",2024
"AD24-0125","QE",327182.83000000,8109079.41100000,3690.85700000,75.00000000,"AD2024","RC",10/2/2024 00:00:00,11/2/2024 00:00:00,1,"DDH",2024
"AD24-0130A","QE",327206.92800000,8109053.29900000,3675.21900000,60.00000000,"AD2024","RC",3/4/2024 00:00:00,3/4/2024 00:00:00,1,"DDH",2024
"AD24-0131","QE",327202.68000000,8109057.81400000,3690.80200000,75.00000000,"AD2024","RC",10/2/2024 00:00:00,10/2/2024 00:00:00,1,"DDH",2024
"AD24-0132","QE",327199.26800000,8109078.70100000,3691.02600000,75.00000000,"AD2024","RC",11/2/2024 00:00:00,11/2/2024 00:00:00,1,"DDH",2024
