X,Y,ID
326782.797,8109082.434,AD2024
326878.951,8109060.716,AD2024
326880.59,8109040.096,AD2024
326880.842,8109020.344,AD2024
326898.626,8109040.842,AD2024
326901.181,8109060.362,AD2024
327400.04,8107983.366,AD2024
327419.93,8108040.973,AD2024
327417.753,8108020.07,AD2024
327419.421,8108001.207,AD2024
327419.23,8107985.206,AD2024
327442.746,8107981.479,AD2024
327438.762,8108002.245,AD2024
327441.994,8108017.423,AD2024
327440.688,8108040.921,AD2024
327443.179,8108059.976,AD2024
327460.393,8108061.752,AD2024
327459.291,8108002.947,AD2024
327477.198,8107977.078,AD2024
327479.257,8108023.099,AD2024
327478.301,8108064.544,AD2024
327483.651,8108095.2,AD2024
327501.503,8108100.587,AD2024
327498.404,8108081.331,AD2024
327500.839,8107983.384,AD2024
327516.787,8108000.8,AD2024
327522.645,8108017.765,AD2024
327516.692,8108080.267,AD2024
327542.836,8108037.64,AD2024
327540.123,8108020.234,AD2024
327561.018,8108038.087,AD2024
327559.489,8108056.869,AD2024
327577.305,8108057.001,AD2024
327737.983,8107636.093,AD2024
327738.297,8107654.34,AD2024
327759.603,8107660.619,AD2024
327746.7,8107636.984,AD2024
327758.989,8107641.095,AD2024
327780.736,8107657.668,AD2024
327800.504,8107719.28,AD2024
327821.893,8107712.658,AD2024
327840.533,8107722.874,AD2024
327862.341,8107721.056,AD2024
327859.639,8107741.693,AD2024
327862.344,8107820.757,AD2024
327860.35,8107833.357,AD2024
327880.342,8107720.335,AD2024
327900.493,8107719.013,AD2024
327899.623,8107736.305,AD2024
327898.382,8107818.29,AD2024
327899.58,8107836.396,AD2024
327919.252,8107742.325,AD2024
327919.104,8107721.582,AD2024
327942.31,8107721.751,AD2024
327942.37,8107742.348,AD2024
327959.306,8107723.824,AD2024
327976.979,8107724.793,AD2024
327979.592,8107741,AD2024
327980.276,8107758.483,AD2024
327981.418,8107784.623,AD2024
328001.026,8107793.652,AD2024
327998.264,8107782.652,AD2024
327999.302,8107760.216,AD2024
328001.815,8107742.475,AD2024
328013.547,8107752.91,AD2024
328017.884,8107758.687,AD2024
328016.812,8107779.805,AD2024
328024.109,8107796.101,AD2024
328025.875,8107879.691,AD2024
328020.015,8107899.217,AD2024
328039.494,8107917.226,AD2024
328042.208,8107902.653,AD2024
328042.257,8107882.141,AD2024
328058.325,8107859.178,AD2024
328060.518,8107880.733,AD2024
328059.031,8107899.943,AD2024
328058.853,8107922.255,AD2024
328062.492,8107941.571,AD2024
328080.958,8107921.966,AD2024
328084.05,8107879.969,AD2024
328102.394,8107849.849,AD2024
328101.157,8107942.003,AD2024
328101.369,8107959.826,AD2024
328117.698,8107837.918,AD2024
328122.462,8107824.139,AD2024
328137.83,8107829.287,AD2024
328140.059,8107841.52,AD2024
328142.347,8107860.796,AD2024
328139.187,8107878.739,AD2024
328137.016,8107895.943,AD2024
328180.661,8107982.651,AD2024
328159.889,8107962.823,AD2024
328157.323,8107895.595,AD2024
328158.085,8107880.74,AD2024
328161.356,8107858.812,AD2024
328178.971,8107882.423,AD2024
328176.262,8107897.948,AD2024
328179.79,8107959.889,AD2024
328199.479,8107961.164,AD2024
328203.928,8107945.801,AD2024
328195.517,8107916.536,AD2024
328198.058,8107893.904,AD2024
328212.055,8107900.215,AD2024
328239.526,8107936.358,AD2024
328211.42,8107916.274,AD2024
328217.571,8107944.39,AD2024
328220.85,8107960.705,AD2024
328214.67,8107979.781,AD2024
326523.471,8109093.276,AD2024
326523.178,8109079.237,AD2024
326536.905,8109057.755,AD2024
326540.181,8109077.373,AD2024
326542.093,8109096.788,AD2024
326583.305,8109061.211,AD2024
326597.183,8109062.677,AD2024
326596.165,8109039.772,AD2024
326601.514,8109023.957,AD2024
326613.204,8109055.942,AD2024
326635.649,8109036.661,AD2024
326632.785,8109029.668,AD2024
327014.96,8108955.887,AD2024
327023.908,8108962.579,AD2024
327041.242,8108942.868,AD2024
327039.709,8108961.241,AD2024
327038.467,8108982.427,AD2024
327059.817,8108940.631,AD2024
327070.339,8108957.283,AD2024
327141.611,8108922.431,AD2024
327039.31,8107800.806,AD2024
327038.723,8107815.641,AD2024
327040.922,8107837.296,AD2024
327040.758,8107860.11,AD2024
327041.321,8107881.51,AD2024
327043.933,8107921.773,AD2024
327039.073,8107942.779,AD2024
327059.455,8107921.427,AD2024
327093.063,8107868.56,AD2024
327060.303,8107879.496,AD2024
327061.078,8107860.121,AD2024
327057.541,8107838.292,AD2024
327057.014,8107819.144,AD2024
327079.916,8107819.91,AD2024
327079.987,8107840.47,AD2024
327080.297,8107860.05,AD2024
327078.89,8107880.03,AD2024
327077.784,8107920.428,AD2024
327077.657,8107939.545,AD2024
327101.93,8107939.576,AD2024
327100.155,8107880.07,AD2024
327097.969,8107859.04,AD2024
327099.629,8107819.767,AD2024
327120.006,8107819.895,AD2024
327120.068,8107840.027,AD2024
327118.771,8107879.25,AD2024
327160.056,8107920.704,AD2024
327159.055,8107940.642,AD2024
327164.743,8107959.344,AD2024
327177.745,8107956.03,AD2024
327180.262,8107900.31,AD2024
327200.496,8107901.777,AD2024
327194.849,8107939.586,AD2024
327322.381,8108117.301,AD2024
327324.162,8108101.475,AD2024
327321.121,8107880.241,AD2024
327340.877,8107879.324,AD2024
327340.324,8107890.628,AD2024
327339.061,8108000.374,AD2024
327342.861,8108099.429,AD2024
327338.811,8108117.247,AD2024
327361.221,8108116.99,AD2024
327357.087,8108100.285,AD2024
327359.418,8107899.754,AD2024
327380.36,8107883.237,AD2024
327378.776,8107900.64,AD2024
327379.786,8107918.831,AD2024
327381.664,8108100.565,AD2024
327385.156,8108117.802,AD2024
327381.186,8108139.551,AD2024
327403.254,8108138.387,AD2024
327399.751,8108119.525,AD2024
327401.45,8108099.617,AD2024
327407.114,8107958.608,AD2024
327400.391,8107939.769,AD2024
327397.465,8107920.907,AD2024
327419.906,8107920.468,AD2024
327420.394,8107940.245,AD2024
327419.794,8107960.207,AD2024
327420.955,8108096.676,AD2024
327419.935,8108116.302,AD2024
327419.281,8108135.352,AD2024
327441.868,8108118.906,AD2024
327444.131,8108102.159,AD2024
327441.43,8107940.95,AD2024
327460.256,8108119.815,AD2024
327478.356,8108140.486,AD2024
327478.33,8108120.64,AD2024
